,hour,platform_os,no,date_2020-07-03,date_2020-07-04,date_2020-07-05,date_2020-07-06,date_2020-07-07,date_2020-07-08,date_2020-07-09,date_2020-07-10,auction_id,experiment,device_make,browser
415,2,6,1,0,0,0,0,0,0,0,1,415,1,171,6
3215,7,6,0,0,0,0,0,0,0,1,0,3215,0,46,2
6057,11,6,0,0,1,0,0,0,0,0,0,6057,0,46,2
3781,5,6,0,0,0,0,0,0,1,0,0,3781,1,221,3
5481,10,6,0,0,0,1,0,0,0,0,0,5481,0,46,2
5120,7,6,0,0,0,0,1,0,0,0,0,5120,1,46,2
6410,11,5,1,0,1,0,0,0,0,0,0,6410,0,267,8
6583,5,6,0,0,0,0,1,0,0,0,0,6583,1,46,2
965,2,5,0,0,1,0,0,0,0,0,0,965,1,267,4
7773,15,6,0,1,0,0,0,0,0,0,0,7773,0,46,2
4224,9,6,0,0,1,0,0,0,0,0,0,4224,1,46,2
5212,12,6,0,0,1,0,0,0,0,0,0,5212,0,46,2
7506,15,6,0,1,0,0,0,0,0,0,0,7506,0,46,2
7620,15,6,0,1,0,0,0,0,0,0,0,7620,0,46,2
4503,0,6,0,0,0,0,1,0,0,0,0,4503,0,133,14
855,15,6,0,0,0,0,0,0,0,0,1,855,1,46,2
4285,9,6,1,0,0,0,1,0,0,0,0,4285,0,46,2
1974,12,6,0,0,0,0,0,1,0,0,0,1974,1,46,2
2687,13,6,0,0,0,0,0,0,0,1,0,2687,1,46,2
456,15,6,0,1,0,0,0,0,0,0,0,456,0,46,2
6477,19,6,0,0,0,0,0,0,1,0,0,6477,1,46,2
2878,9,6,0,1,0,0,0,0,0,0,0,2878,1,197,2
1165,17,6,0,0,0,0,0,0,1,0,0,1165,0,114,3
1389,17,6,0,0,0,1,0,0,0,0,0,1389,0,46,2
5006,10,6,1,0,0,0,1,0,0,0,0,5006,0,46,2
5662,7,6,0,1,0,0,0,0,0,0,0,5662,1,228,3
4577,7,6,0,1,0,0,0,0,0,0,0,4577,1,46,3
7181,8,6,0,0,0,0,0,0,0,1,0,7181,1,171,14
7396,11,6,0,0,0,0,0,1,0,0,0,7396,0,123,14
4401,7,6,0,0,0,1,0,0,0,0,0,4401,0,46,2
3904,17,6,0,0,0,0,0,0,0,0,1,3904,0,46,2
7024,7,6,0,0,1,0,0,0,0,0,0,7024,1,43,3
969,15,6,0,1,0,0,0,0,0,0,0,969,0,46,2
2069,20,6,0,0,0,0,0,0,1,0,0,2069,1,16,3
2677,10,6,0,0,0,0,0,0,1,0,0,2677,1,46,2
4580,7,6,0,0,0,0,0,0,0,0,1,4580,0,95,6
7673,8,6,0,0,0,0,0,0,0,1,0,7673,1,46,2
6394,7,6,0,0,0,1,0,0,0,0,0,6394,1,46,2
6565,7,6,0,0,0,0,1,0,0,0,0,6565,1,46,2
7543,15,6,0,1,0,0,0,0,0,0,0,7543,0,177,3
3556,16,6,0,0,0,1,0,0,0,0,0,3556,0,46,2
4989,0,6,0,0,0,0,0,0,0,0,1,4989,1,46,2
3687,20,6,0,0,0,0,0,0,1,0,0,3687,1,171,3
4261,6,6,0,0,0,0,1,0,0,0,0,4261,1,239,3
1255,15,6,0,1,0,0,0,0,0,0,0,1255,0,164,3
5180,17,6,0,0,0,0,0,0,0,1,0,5180,1,46,2
304,13,6,0,0,0,0,0,0,0,1,0,304,0,46,2
4614,7,6,0,0,0,1,0,0,0,0,0,4614,0,46,2
563,3,6,0,0,0,0,0,1,0,0,0,563,0,46,2
